match_num,round_num,team_home,team_away,week_day,time,stadium,referee_name
217,22,Vitória - BA,Fluminense - RJ,Quarta,19:30,Manoel Barradas - Salvador - BA,thiago_duarte_peixoto
218,22,Grêmio - RS,Santos - SP,Quinta,20:30,Arena do Grêmio - Porto Alegre - RS,ricardo_marques_ribeiro
219,22,Figueirense - SC,Criciuma - SC,Quarta,21:00,Orlando Scarpelli - Florianopolis - SC,paulo_h_godoy_bezerra
220,22,Goiás - GO,Atlético - MG,Quinta,19:30,Serra Dourada - Goiania - GO,luiz_flavio_de_oliveira
221,23,Flamengo - RJ,Fluminense - RJ,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,dewson_fernando_freitas_da_silva
222,23,Sport - PE,Coritiba - PR,Domingo,16:00,Ilha do Retiro - Recife - PE,leandro_pedro_vuaden
223,23,Corinthians - SP,São Paulo - SP,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,luiz_flavio_de_oliveira
224,23,Santos - SP,Figueirense - SC,Domingo,18:30,Vila Belmiro - Santos - SP,elmo_alves_resende_cunha
225,23,Atlético - PR,Internacional - RS,Sábado,18:30,Arena da Baixada - Curitiba - PR,flavio_rodrigues_de_souza
226,23,Cruzeiro - MG,Atlético - MG,Domingo,16:00,Mineirão - Belo Horizonte - MG,marcelo_de_lima_henrique
227,23,Vitória - BA,Bahia - BA,Domingo,16:00,Fonte Nova - Salvador - BA,ricardo_marques_ribeiro
228,23,Grêmio - RS,Chapecoense - SC,Domingo,18:30,Arena do Grêmio - Porto Alegre - RS,andre_luiz_de_freitas_castro
229,23,Criciuma - SC,Botafogo - RJ,Sábado,21:00,Heriberto Hulse - Criciuma - SC,wilton_pereira_sampaio
230,23,Goiás - GO,Palmeiras - SP,Domingo,18:30,Serra Dourada - Goiania - GO,igor_junio_benevenuto
231,24,Botafogo - RJ,Goiás - GO,Quinta,19:30,Maracanã - Rio de Janeiro - RJ,leandro_pedro_vuaden
232,24,Fluminense - RJ,Grêmio - RS,Quarta,22:00,Maracanã - Rio de Janeiro - RJ,heber_roberto_lopes
233,24,São Paulo - SP,Flamengo - RJ,Quarta,22:00,Morumbi - Sao Paulo - SP,andre_luiz_de_freitas_castro
234,24,Palmeiras - SP,Vitória - BA,Quinta,19:30,Pacaembu - Sao Paulo - SP,wilton_pereira_sampaio
235,24,Coritiba - PR,Cruzeiro - MG,Quarta,19:30,Couto Pereira - Curitiba - PR,vinicius_furlan
236,24,Atlético - MG,Santos - SP,Quinta,20:30,Independência - Belo Horizonte - MG,rodrigo_d_alonso_ferreira
237,24,Bahia - BA,Sport - PE,Quarta,21:00,Fonte Nova - Salvador - BA,flavio_rodrigues_guerra
238,24,Internacional - RS,Criciuma - SC,Quarta,19:30,Beira-Rio - Porto Alegre - RS,marcelo_de_lima_henrique
239,24,Figueirense - SC,Corinthians - SP,Quarta,22:00,Orlando Scarpelli - Florianopolis - SC,ricardo_marques_ribeiro
240,24,Chapecoense - SC,Atlético - PR,Quarta,21:00,Arena Condá - Chapeco - SC,charles_hebert_cavalcante_ferreira
241,25,Botafogo - RJ,Grêmio - RS,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,elmo_alves_resende_cunha
242,25,Sport - PE,Cruzeiro - MG,Sábado,18:30,Arena Pernambuco - Sao Lourenco da Mata - PE,marielson_alves_silva
243,25,São Paulo - SP,Fluminense - RJ,Sábado,21:00,Morumbi - Sao Paulo - SP,ricardo_marques_ribeiro
244,25,Santos - SP,Goiás - GO,Domingo,18:30,Pacaembu - Sao Paulo - SP,heber_roberto_lopes
245,25,Atlético - PR,Corinthians - SP,Domingo,16:00,Arena da Baixada - Curitiba - PR,marcelo_de_lima_henrique
246,25,Atlético - MG,Vitória - BA,Domingo,16:00,Independência - Belo Horizonte - MG,marcelo_aparecido_r_de_souza
247,25,Bahia - BA,Flamengo - RJ,Domingo,16:00,Fonte Nova - Salvador - BA,leandro_pedro_vuaden
248,25,Internacional - RS,Coritiba - PR,Domingo,18:30,Beira-Rio - Porto Alegre - RS,luiz_flavio_de_oliveira
249,25,Figueirense - SC,Palmeiras - SP,Domingo,18:30,Orlando Scarpelli - Florianopolis - SC,dewson_fernando_freitas_da_silva
