,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
449,Alessandro Vinícius,94495,282,https://s.glbimg.com/es/sde/f/2019/03/30/ffa3db77225e133627999054dd742e50_FORMATO.png,0,0.0,Alessandro Vinícius Gonçalves da Silva,0.0,4,1.0,6,{},alessandro-vinicius,6,0.0
450,Fernando,97543,282,https://s.glbimg.com/es/sde/f/2018/05/07/f73daae77a916904f7cc997667e506ad_FORMATO.png,0,0.0,Fernando Rodrigues Caixeta Barbosa,0.0,1,1.0,6,{},fernando,6,0.0
451,Yago,77500,290,https://s.glbimg.com/es/sde/f/2019/03/26/32f1ef47f09a17579130bc990308fe11_FORMATO.png,6,1.82,Yago Fernando da Silva,-0.8,3,3.34,6,"{'CA': 1, 'FC': 4, 'FS': 2, 'PE': 7, 'RB': 4, 'SG': 2}",yago,6,-1.44
452,Daniel,97349,282,https://s.glbimg.com/es/sde/f/2017/05/04/6d566daae907e707a8bfbd7975033f26_FORMATO.png,0,0.0,Daniel dos Santos Penha,0.0,4,1.0,6,{},daniel,6,0.0
453,Gegê,82474,314,https://s.glbimg.com/es/sde/f/2019/02/18/a6e6b20f53d3e64deddfd38a901450c0_FORMATO.png,3,3.63,Geirton Marques Aires,6.4,4,3.59,6,"{'FC': 6, 'FD': 2, 'FS': 2, 'FT': 1, 'PE': 5, 'RB': 6}",gege,7,0.98
454,Bruno Silva,101422,315,https://s.glbimg.com/es/sde/f/2018/05/24/c08c1ffb51c09b59126c4f9ae3771ec7_FORMATO.png,1,-0.3,Bruno da Silva Costa,0.0,5,2.8,6,{'PE': 1},bruno-silva,6,0.0
455,Rildo,73635,315,https://s.glbimg.com/es/sde/f/2019/03/26/a767420a07d616038c0c02ad7324e41d_FORMATO.png,3,8.93,Rildo de Andrade Felicissimo,11.9,5,9.13,6,"{'CA': 1, 'FC': 2, 'FD': 1, 'FF': 5, 'FS': 7, 'G': 2, 'PE': 3, 'RB': 4}",rildo,2,1.19
456,João Afonso,78458,290,https://s.glbimg.com/es/sde/f/2019/03/26/7aa4970f4f6fe71390e7e18f2d34a799_FORMATO.png,0,0.0,João Afonso Crispim,0.0,4,4.0,6,{},joao-afonso,6,0.0
457,Marcos,78495,290,https://s.glbimg.com/es/sde/f/2019/03/26/97c014749e1bd594e9dc76f33b45a278_FORMATO.png,0,0.0,Marcos de Paula Dutra,0.0,1,3.0,6,{},marcos,6,0.0
458,Alerrandro,101715,282,https://s.glbimg.com/es/sde/f/2018/05/17/28dbb606b55029007f0519c4b90dcd6f_FORMATO.png,1,0.0,Alerrandro Barra Mansa Realino de Souza,0.0,5,3.66,6,"{'FC': 1, 'FS': 1}",alerrandro,7,0.0
459,Renatinho,80395,290,https://s.glbimg.com/es/sde/f/2019/03/26/4bc605d5a170ce1412fa7c8250432d85_FORMATO.png,3,0.23,Renato Vieira Rodrigues,0.0,4,2.48,6,"{'FC': 1, 'FF': 2, 'FS': 1, 'PE': 3}",renatinho,6,0.0
460,Felipe Sousa,101861,282,,0,0.0,Felipe Fernandes Sousa,0.0,5,1.0,6,{},felipe-sousa,6,0.0
461,Marcelo Hermes,82639,290,https://s.glbimg.com/es/sde/f/2019/03/26/e5cbd69dfd6e038a31846473359d7246_FORMATO.png,1,-1.1,Marcelo Gazella Hermes,0.0,2,3.14,6,"{'FC': 2, 'FS': 1, 'PE': 2}",marcelo-hermes,6,0.0
462,Papagaio,102302,282,https://s.glbimg.com/es/sde/f/2019/03/29/6cce9b5a37d0722657f590f8d01229f4_FORMATO.png,1,0.0,Rafael Elias da Silva,0.0,5,1.45,6,{},papagaio,6,0.0
463,Hulk,102700,282,https://s.glbimg.com/es/sde/f/2018/05/17/2551e15c845e9706b626ca2ab7a4f23f_FORMATO.png,0,0.0,Carlos Gabriel Moreira de Oliviera,0.0,2,3.0,6,{},hulk,6,0.0
464,Marlone,80944,290,https://s.glbimg.com/es/sde/f/2019/03/26/b8ec528564308c15c0bb71bc4f8a95ab_FORMATO.png,4,2.73,Johnath Marlone Azevedo da Silva,0.2,4,6.11,6,"{'FC': 1, 'FF': 1, 'FS': 1, 'G': 1, 'PE': 3, 'RB': 2}",marlone,6,-0.33
465,Bruninho,101716,282,https://s.glbimg.com/es/sde/f/2018/05/17/4db250b451ffbbeb0a3e8ec81fe6023a_FORMATO.png,1,1.2,Bruno Roberto Pereira da Silva,1.2,4,1.81,6,{'FD': 1},bruninho,6,-0.19
466,Terans,102878,282,https://s.glbimg.com/es/sde/f/2018/06/26/88598177badc1f54b4f2757234282710_FORMATO.png,0,0.0,Miguel David Terans Pérez  ,0.0,4,5.0,6,{},terans,6,0.0
467,Caíque Sá,87437,315,https://s.glbimg.com/es/sde/f/2019/03/26/6150eb32c87f7d53142963b02f21a967_FORMATO.png,2,-0.25,Caíque Silva Sá,2.2,2,3.03,6,"{'CA': 1, 'FC': 4, 'FS': 1, 'PE': 5, 'RB': 3}",caique-sa,2,0.8
468,Martín Rea,103093,282,https://s.glbimg.com/es/sde/f/2018/08/15/112cfc233171e1ce071bc8982b37d432_FORMATO.png,0,0.0,Martín Rea Zuccotti,0.0,3,4.0,6,{},martin-rea,6,0.0
469,Rafinha,84381,290,https://s.glbimg.com/es/sde/f/2019/03/26/da0e26b0ad42f47aecd017b463a244e5_FORMATO.png,1,0.2,Rafael Diniz Alves e Silva,0.2,4,3.07,6,"{'FS': 1, 'PE': 1}",rafinha,6,-0.93
470,Daniel Guedes ,88225,290,https://s.glbimg.com/es/sde/f/2019/03/27/36a8f752725a4c7a0f94522417d6cc98_FORMATO.png,5,1.42,Daniel Guedes da Silva,-1.3,2,3.99,6,"{'CA': 1, 'FC': 9, 'FF': 1, 'FS': 5, 'I': 2, 'PE': 14, 'RB': 7, 'SG': 1}",daniel-guedes,6,-1.28
471,Matheus Stockl,104088,282,https://s.glbimg.com/es/sde/f/2019/03/30/86011c733ddfa6a95f8ce320b63fab21_FORMATO.png,0,0.0,Matheus Bungenstab Stockl,0.0,3,1.0,6,{},matheus-stockl,6,0.0
472,Chará,99891,282,https://s.glbimg.com/es/sde/f/2018/06/12/141a8b4188cba969d63627e1e52b336e_FORMATO.png,6,4.98,Yimmi Javier Chará Zamora,5.2,5,11.38,6,"{'FC': 4, 'FD': 2, 'FF': 4, 'FS': 8, 'G': 2, 'PE': 19, 'RB': 8}",chara,7,-0.12
473,Neto,103706,282,https://s.glbimg.com/es/sde/f/2019/03/30/845cad8021ef58fd85f953cdd5d0fae9_FORMATO.png,0,0.0,Antônio Fialho de Carvalho Neto,0.0,4,1.0,6,{},neto,6,0.0
474,Guga,101319,282,https://s.glbimg.com/es/sde/f/2019/03/29/fb13c66ae9c72ffe321570f916f5d250_FORMATO.png,5,5.88,Claudio Rodrigues Gomes,0.0,2,8.54,6,"{'A': 3, 'FC': 4, 'FF': 1, 'FS': 4, 'I': 1, 'PE': 18, 'RB': 13}",guga,6,0.0
475,Marquinhos,98765,282,https://s.glbimg.com/es/sde/f/2019/02/15/7f94dd0a492218c6dcc1fbc02473637c_FORMATO.png,0,0.0,José Marcos Costa Martins,0.0,4,1.0,6,{},marquinhos,6,0.0
476,Marcelo Rangel,82730,290,https://s.glbimg.com/es/sde/f/2019/03/26/eca12439d38b9fd1ddc8662b4872f0c4_FORMATO.png,0,0.0,Marcelo Rangel da Rosa,0.0,1,4.0,6,{},marcelo-rangel,5,0.0
477,Léo Sena,90572,290,https://s.glbimg.com/es/sde/f/2019/03/26/dbb9320b8d6aae993c9a2f2f65c761ee_FORMATO.png,5,4.14,Leonardo de Souza Sena,0.0,4,6.25,6,"{'CA': 1, 'FC': 5, 'FS': 12, 'PE': 16, 'RB': 16}",leo-sena,5,0.0
478,Leandro Barcia,91242,290,https://s.glbimg.com/es/sde/f/2019/03/26/eb34e430eaaff21dcd5c4c680505c910_FORMATO.png,6,5.77,Leandro Barcia Montero,9.9,5,10.11,6,"{'CA': 1, 'FC': 11, 'FD': 5, 'FF': 7, 'FS': 14, 'FT': 1, 'G': 2, 'PE': 10, 'RB': 5}",leandro-barcia,6,1.96
479,Daniel Amorim,82880,314,https://s.glbimg.com/es/sde/f/2019/02/18/0d8fec2dd84657e690f017bb4a25b414_FORMATO.png,4,3.05,Daniel Amorim Dias da Silva,0.0,5,6.26,6,"{'FC': 3, 'FD': 1, 'FF': 3, 'FS': 7, 'G': 1, 'I': 1, 'PE': 3}",daniel-amorim,6,-1.12
480,Matheus Alves,91712,290,https://s.glbimg.com/es/sde/f/2019/03/26/de03c48f1b1b556b4876bcb937977dfa_FORMATO.png,0,0.0,Matheus Alves da Silva Cardoso,0.0,1,1.0,6,{},matheus-alves,6,0.0
481,David Duarte,91772,290,https://s.glbimg.com/es/sde/f/2019/03/26/cfafe9f57bd3c0e32edd4416b3449331_FORMATO.png,6,3.32,David de Duarte Macedo,1.4,3,8.63,6,"{'FC': 2, 'FF': 3, 'FS': 2, 'PE': 10, 'RB': 7, 'SG': 2}",david-duarte,6,-0.62
482,Giovanny ,92085,290,https://s.glbimg.com/es/sde/f/2019/03/26/0622726518f8a75c36ac5bb8486510c4_FORMATO.png,0,0.0,Giovanny Bariani Marques,0.0,5,2.0,6,{},giovanny,6,0.0
483,Gabriel,104404,282,,0,0.0,Gabriel Alves da Cunha Borges,0.0,4,1.0,6,{},gabriel,6,0.0
484,Raphael Lopes,105198,282,,0,0.0,Raphael Lopes Silva,0.0,5,1.0,6,{},raphael-lopes,6,0.0
485,Loyola,94680,290,https://s.glbimg.com/es/sde/f/2019/03/26/c4579a65458bcbabe053f6cfda210e89_FORMATO.png,0,0.0,Nilson Evair Loyola Morales,0.0,2,2.0,6,{},loyola,6,0.0
486,Igor Reis,104408,282,,0,0.0,Igor Alves dos Reis,0.0,4,1.0,6,{},igor-reis,6,0.0
487,Kevin ,91888,290,https://s.glbimg.com/es/sde/f/2019/03/26/c942f5741d6801ac46caaa38525ff433_FORMATO.png,2,4.6,Kevin Peterson dos Santos Silva,0.0,2,7.49,6,"{'FF': 1, 'FS': 2, 'PE': 7, 'RB': 3, 'SG': 1}",kevin,6,0.0
488,Marquinhos Silva,38515,314,https://s.glbimg.com/es/sde/f/2019/03/25/8dc24bebfd563fe4253dc5e8837b3121_FORMATO.png,4,2.5,Marcos Roberto da Silva Barbosa,-0.6,3,6.52,6,"{'CA': 1, 'FC': 2, 'FF': 4, 'FS': 4, 'PE': 14, 'RB': 8}",marquinhos-silva,7,-0.96
489,Hélio Júnior,104622,282,,0,0.0,Hélio Júnior Rossi Francino,0.0,2,1.0,6,{},helio-junior,6,0.0
490,Júnior Brandão,93909,290,https://s.glbimg.com/es/sde/f/2019/03/26/e954e98c706090570f4b49aed0d84a09_FORMATO.png,4,-0.48,José Brandão Gonçalves Júnior,0.0,5,1.81,6,"{'CA': 3, 'FC': 5, 'FD': 1, 'FF': 3, 'FS': 4, 'I': 1, 'RB': 1}",junior-brandao,6,0.0
491,Jefferson,95220,290,https://s.glbimg.com/es/sde/f/2019/03/26/0bdca6f9c3095efaf10949cf6c22b654_FORMATO.png,6,5.08,Jefferson Junio Antonio da Silva,1.3,2,10.31,6,"{'FC': 4, 'FD': 1, 'FF': 2, 'FS': 10, 'PE': 11, 'RB': 12, 'SG': 2}",jefferson,6,-0.8
