,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
603,Anderson Martins,52618,276,https://s.glbimg.com/es/sde/f/2019/04/01/0024f435e5e19a93ff9b8b2d9efe929a_FORMATO.png,2,-2.75,Anderson Vieira Martins,-2.5,3,2.48,3,"{'CA': 2, 'FC': 3}",anderson-martins,7,-1.28
604,Jucilei,63422,276,https://s.glbimg.com/es/sde/f/2019/04/01/3e050c01c28897f628b2b5b275392576_FORMATO.png,0,0.0,Jucilei da Silva,0.0,4,8.0,3,{},jucilei,6,0.0
605,Thiago Carleto,51700,354,https://s.glbimg.com/es/sde/f/2019/03/28/e6019b20be4192e66ea436db383a8d95_FORMATO.png,3,2.1,Thiago Carleto Alves,1.0,2,7.73,3,"{'FC': 3, 'FD': 1, 'FF': 1, 'FS': 1, 'PE': 9, 'RB': 2, 'SG': 1}",thiago-carleto,7,-0.52
606,Bruno Peres,73962,276,https://s.glbimg.com/es/sde/f/2019/04/01/e45da566464dfc86f2e866c3d5f0a9ff_FORMATO.png,0,0.0,Bruno da Silva Peres,0.0,2,5.0,3,{},bruno-peres,6,0.0
607,Joao Rojas,70784,276,https://s.glbimg.com/es/sde/f/2018/08/22/4263f96a54ea57b00b989a04f50f6ec3_FORMATO.png,0,0.0,Joao Robin Rojas Mendoza,0.0,5,7.0,3,{},joao-rojas,5,0.0
608,Tiago Volpi,72018,276,https://s.glbimg.com/es/sde/f/2019/04/01/2738a4ae33bd55ff85ec0117ecf79063_FORMATO.png,3,1.03,Tiago Luis Volpi,1.0,1,6.22,3,"{'DD': 1, 'GS': 2, 'PE': 3, 'SG': 1}",tiago-volpi,7,-0.28
609,Léo Cittadini,70986,293,https://s.glbimg.com/es/sde/f/2019/03/30/475167cdad7e826c64f4a0a999f8aef9_FORMATO.png,1,6.0,Leonardo Cittadini,6.0,4,5.66,3,"{'FC': 3, 'FD': 1, 'FF': 2, 'FS': 1, 'PE': 1, 'RB': 3}",leo-cittadini,6,0.66
610,Juninho Quixadá,71787,354,https://s.glbimg.com/es/sde/f/2019/03/28/290762becedf23c80b831f923f4b7b33_FORMATO.png,0,0.0,Pedro Julião Azevedo Junior,0.0,4,5.0,3,{},juninho-quixada,5,0.0
611,Felipe Baxola,71113,354,https://s.glbimg.com/es/sde/f/2019/03/28/24e6b367451f8861ad0b1a99cfd02895_FORMATO.png,0,0.0,Felipe de Oliveira Silva,0.0,4,6.0,3,{},felipe-baxola,5,0.0
612,Wescley,70925,354,https://s.glbimg.com/es/sde/f/2019/03/28/0323fda54c2149f1f78b04bb3c9dcb1f_FORMATO.png,0,0.0,Wescley Gomes dos Santos,0.0,4,5.0,3,{},wescley,5,0.0
613,Bruno Alves,73620,276,https://s.glbimg.com/es/sde/f/2019/04/01/c8c4cd4fac733c4fba030044eefbd05a_FORMATO.png,3,0.93,Bruno Fabiano Alves,-0.8,3,5.02,3,"{'FC': 10, 'FF': 1, 'FS': 1, 'PE': 5, 'RB': 2, 'SG': 1}",bruno-alves,7,-0.98
614,Biro Biro,80949,276,https://s.glbimg.com/es/sde/f/2019/04/01/f68e2361b5e781e14b16924b5effcb08_FORMATO.png,0,0.0,Diego Santos Gama Camilo,0.0,5,3.0,3,{},biro-biro,6,0.0
615,Léo,85626,276,https://s.glbimg.com/es/sde/f/2019/04/01/bbb9588c3dbac516f581a278fc277197_FORMATO.png,0,0.0,Leonardo Pinheiro da Conceição,0.0,2,5.0,3,{},leo,6,0.0
616,Juninho,71937,356,https://s.glbimg.com/es/sde/f/2019/04/30/199fd043d747c68f3eb9ac7a9e21216f_FORMATO.png,1,-0.3,Paulo Roberto Valoura Júnior,-0.3,4,4.25,3,"{'CA': 1, 'FC': 3, 'FS': 1, 'PE': 1, 'RB': 2}",juninho,7,-1.75
617,Igor Vinícius,95466,276,https://s.glbimg.com/es/sde/f/2019/04/01/882d97a0ed3a028f3c489768c79b7268_FORMATO.png,2,3.2,Igor Vinícius de Souza,0.0,2,7.65,3,"{'A': 1, 'CV': 1, 'FC': 5, 'FF': 2, 'FS': 1, 'PE': 4, 'RB': 2, 'SG': 1}",igor-vinicius,2,0.0
618,Alex Amado,78475,354,https://s.glbimg.com/es/sde/f/2019/03/28/baad423e3d4f7d7ca9067444675bd599_FORMATO.png,0,0.0,Alex Broch Amado,0.0,5,2.0,3,{},alex-amado,6,0.0
619,Auremir,77570,354,https://s.glbimg.com/es/sde/f/2019/03/28/6abb09758933bfcad8f3734cd8fbe484_FORMATO.png,2,2.1,Auremir Evangelista dos Santos,0.0,4,4.43,3,"{'FC': 5, 'FS': 2, 'PE': 6, 'RB': 5}",auremir,6,0.0
620,Luiz Otávio,72359,354,https://s.glbimg.com/es/sde/f/2019/03/28/731bd0c1760d7e08394c9726255ba348_FORMATO.png,3,4.33,Luiz Otávio Anacleto Leandro,0.9,3,11.17,3,"{'A': 1, 'FC': 2, 'FS': 2, 'PE': 5, 'RB': 3, 'SG': 1}",luiz-otavio,7,-0.95
621,Ricardinho,78577,354,https://s.glbimg.com/es/sde/f/2019/03/28/893813a02cea9d96daf288036733d24e_FORMATO.png,3,-0.07,Ricardo Dias Acosta,-0.2,4,2.65,3,"{'FC': 3, 'FD': 1, 'FF': 1, 'FS': 1, 'PE': 4}",ricardinho,7,-0.47
622,Jonatan Gomez,94857,276,https://s.glbimg.com/es/sde/f/2017/06/27/500860f593a723ac171bd25de5474397_FORMATO.png,0,0.0,Jonatan David Gomez Ospina,0.0,4,3.0,3,{},jonatan-gomez,6,0.0
623,Lucas Kal,95662,276,https://s.glbimg.com/es/sde/f/2019/04/01/3550f7f824481d5d0345448e8ad226d0_FORMATO.png,0,0.0,Lucas Kal Schenfeld Progioli,0.0,3,1.0,3,{},lucas-kal,6,0.0
624,Chico,82407,354,https://s.glbimg.com/es/sde/f/2019/03/28/591cde68116bac7ca7031a2f73847987_FORMATO.png,3,0.83,Francisco Hyun Sol Kim,-0.3,4,4.42,3,"{'FC': 7, 'FS': 3, 'PE': 5, 'RB': 4}",chico,6,-0.59
625,Igor Gomes,100084,276,https://s.glbimg.com/es/sde/f/2019/04/01/7a6c90034396325f6cc570ef06e1040c_FORMATO.png,1,1.1,Igor Silveira Gomes,0.0,4,1.46,3,"{'FC': 1, 'FS': 2, 'PE': 3, 'RB': 1}",igor-gomes,6,0.0
626,Richard,78851,354,https://s.glbimg.com/es/sde/f/2019/03/28/27b9b114a61039b0185e25a34be02245_FORMATO.png,0,0.0,Richard de Oliveira da Costa,0.0,1,6.0,3,{},richard,6,0.0
627,Romário Rodrigues,79336,354,https://s.glbimg.com/es/sde/f/2019/03/28/8a5fe5aa3179c4ff1643804412e0050b_FORMATO.png,0,0.0,Romário Marques Rodrigues,0.0,5,2.0,3,{},romario-rodrigues,6,0.0
628,Fabinho,80393,354,https://s.glbimg.com/es/sde/f/2019/03/28/8130912c9c6386df9e0982c031fd0299_FORMATO.png,3,2.2,Fábio Gonçalves,1.5,4,5.95,3,"{'FC': 3, 'PE': 3, 'RB': 6}",fabinho,7,-0.16
629,Cristovam,82930,354,https://s.glbimg.com/es/sde/f/2019/03/28/65f57e09b155b5b3a44d895928edeeca_FORMATO.png,0,0.0,Cristovam Roberto Ribeiro da Silva,0.0,2,3.0,3,{},cristovam,6,0.0
630,Fernando Sobral,84428,354,https://s.glbimg.com/es/sde/f/2019/03/28/2036fe932766e953f14ef5fc5ed37a53_FORMATO.png,3,1.33,Fernando Pereira do Nascimento,-0.9,4,3.8,3,"{'FC': 4, 'FF': 2, 'FS': 1, 'PE': 7, 'RB': 4}",fernando-sobral,7,-0.94
631,Charles,84187,354,https://s.glbimg.com/es/sde/f/2019/03/28/8a9cbcec424be180e39b85d96fb5ec47_FORMATO.png,0,0.0,Charles Luis Reiter,0.0,3,4.0,3,{},charles,6,0.0
632,Toró,101885,276,https://s.glbimg.com/es/sde/f/2019/04/01/537547b0687a098437442f6632e753bc_FORMATO.png,3,4.23,Jonas Gabriel da Silva Nunes,1.0,5,5.69,3,"{'FC': 3, 'FF': 2, 'FS': 5, 'G': 1, 'PE': 3, 'RB': 2}",toro,7,-0.75
633,Gonzalo Carneiro,101796,276,https://s.glbimg.com/es/sde/f/2019/04/01/504b1e2a808ffe49b9679b8e86de83b8_FORMATO.png,0,0.0,Gonzalo Rodrigo Carneiro Méndez,0.0,5,5.0,3,{},gonzalo-carneiro,3,0.0
634,Guilherme Nunes,101912,277,https://s.glbimg.com/es/sde/f/2018/05/23/7e91393fb9d0c73f8ae12e9e96c38308_FORMATO.png,0,0.0,Guilherme Nunes da Silva,0.0,4,2.0,3,{},guilherme-nunes,6,0.0
635,Lucas Paes,101837,276,https://s.glbimg.com/es/sde/f/2019/04/01/93c12b1437d9ab16eb93c3f7fc8c4f9b_FORMATO.png,0,0.0,Lucas Paes Souza,0.0,1,2.0,3,{},lucas-paes,6,0.0
636,Danilo Barcelos,84382,267,https://s.glbimg.com/es/sde/f/2019/02/04/9212d58ce4cacfc864eabd43e1aacd0e_FORMATO.jpeg,2,0.95,Danilo Carvalho Barcelos,-0.1,2,4.88,3,"{'FC': 6, 'FF': 1, 'FS': 1, 'PE': 3, 'RB': 3}",danilo-barcelos,7,-1.36
637,Liziero,100761,276,https://s.glbimg.com/es/sde/f/2019/04/01/8423e58431d29d7700ba477367f59b3f_FORMATO.png,1,4.5,Igor Matheus Liziero Pereira ,4.5,4,5.15,3,"{'FC': 2, 'FD': 1, 'FF': 1, 'FS': 1, 'RB': 2}",liziero,7,0.15
638,Luan,102909,276,https://s.glbimg.com/es/sde/f/2019/04/01/d66903d72e2d84e1b6c05a8579691862_FORMATO.png,0,0.0,Luan Vinicius da Silva Santos ,0.0,4,5.0,3,{},luan,5,0.0
639,Vinícius Araújo,82767,267,https://s.glbimg.com/es/sde/f/2018/09/27/6ddf98420b08a50c32c74472f3b962b3_FORMATO.png,0,0.0,Vinícius Vasconcelos Araújo,0.0,5,2.0,3,{},vinicius-araujo,5,0.0
640,Samuel Xavier,73384,354,https://s.glbimg.com/es/sde/f/2019/03/28/a19b59f7d716d5610181d660801756b6_FORMATO.png,3,5.83,Samuel Xavier Brito,4.7,2,13.02,3,"{'A': 2, 'FC': 1, 'FF': 1, 'FS': 3, 'I': 1, 'PE': 6, 'RB': 2, 'SG': 1}",samuel-xavier,7,0.2
641,Helinho,102598,276,https://s.glbimg.com/es/sde/f/2019/04/01/a4da339bedf52e7e79df80fd1914f6da_FORMATO.png,1,-0.5,Hélio Júnio Nunes de Castro,-0.5,5,4.18,3,"{'FC': 2, 'FS': 1}",helinho,6,-1.82
642,Eduardo Brock,78654,354,https://s.glbimg.com/es/sde/f/2019/03/28/27579304db4774273de16432633427c2_FORMATO.png,0,0.0,Eduardo Schroeder Brock,0.0,3,4.0,3,{},eduardo-brock,6,0.0
643,Henrique,84893,267,https://s.glbimg.com/es/sde/f/2018/09/27/b3280046d476aa241a694771fbe1b0cc_FORMATO.png,1,2.8,Henrique Silva Milagres,0.0,2,4.11,3,"{'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2, 'PE': 4, 'RB': 1}",henrique,6,0.0
644,Bruno Silva,83626,267,https://s.glbimg.com/es/sde/f/2018/09/27/b17da0820a3b1e8337a588d2eac239bc_FORMATO.png,0,0.0,Bruno da Silva Barbosa,0.0,4,3.0,3,{},bruno-silva,6,0.0
645,Jordi,86776,341,https://s.glbimg.com/es/sde/f/2019/04/27/086fa2e4939cd7153795f155d02f6f52_FORMATO.png,3,4.9,Jordi Almeida,11.5,1,5.52,3,"{'DD': 5, 'FS': 2, 'GS': 3, 'PE': 1, 'SG': 1}",jordi,7,3.44
646,Júnior,103662,276,https://s.glbimg.com/es/sde/f/2019/04/01/f8a36e8e52088ffa0e8b4469629c46fe_FORMATO.png,0,0.0,Dênis de Oliveira Aguiar Júnior,0.0,1,1.0,3,{},junior,6,0.0
647,Rodrigo Freitas,103261,276,https://s.glbimg.com/es/sde/f/2019/03/26/c82451e325c04a87780194f586a25229_FORMATO.png,0,0.0,Rodrigo dos Santos Freitas,0.0,3,2.0,3,{},rodrigo-freitas,6,0.0
648,Antony,103455,276,https://s.glbimg.com/es/sde/f/2019/04/01/8f7a82b4d2e116fcf5f4b7f1bf94080f_FORMATO.png,3,6.97,Antony Matheus do Santos,3.3,5,12.53,3,"{'A': 2, 'FD': 1, 'FF': 2, 'FS': 9, 'FT': 1, 'PE': 8, 'RB': 2}",antony,7,-0.59
649,Willian Maranhão,87262,267,https://s.glbimg.com/es/sde/f/2018/09/27/92d651fa08a85080370b0b2bfaddceb4_FORMATO.png,0,0.0,Willian Marlon Ferreira Moraes,0.0,4,3.0,3,{},willian-maranhao,6,0.0
650,Gabriel Félix,92057,267,https://s.glbimg.com/es/sde/f/2018/04/09/1d85c758ea942cdf25ad4709d3c7ccb8_FORMATO.png,0,0.0,Gabriel Félix dos Santos,0.0,1,2.0,3,{},gabriel-felix,6,0.0
651,Lucas Mineiro,90634,267,https://s.glbimg.com/es/sde/f/2019/02/04/8c21d6c085c35c5d92e3380a55b2f833_FORMATO.jpeg,3,2.53,Lucas da Silva Izidoro,0.4,4,5.61,3,"{'FC': 7, 'FF': 2, 'FS': 1, 'PE': 5, 'RB': 7}",lucas-mineiro,7,-0.85
652,Walce,104074,276,https://s.glbimg.com/es/sde/f/2019/03/26/d9fb64d171c0188ebc7f660fe5f388ea_FORMATO.png,1,0.0,Walce da Silva Costa Filho,0.0,3,1.45,3,{},walce,2,-0.55
653,Bruno César,52558,267,https://s.glbimg.com/es/sde/f/2019/03/31/3b9db9e833f13f65a65d1546e2608e81_FORMATO.jpeg,2,4.0,Bruno César Zanaki,0.5,4,8.92,3,"{'FC': 1, 'FS': 1, 'G': 1}",bruno-cesar,6,-1.14
654,Andrey,93787,267,https://s.glbimg.com/es/sde/f/2018/09/27/8599b503c16e7576611774a756e2e106_FORMATO.png,1,1.7,Andrey Ramos do Nascimento,0.0,4,4.35,3,"{'FF': 1, 'PE': 2, 'RB': 1}",andrey,6,0.0
655,Janderson,97245,264,https://s.glbimg.com/es/sde/f/2019/04/30/813c0919a982172ffb025e8d81021a44_FORMATO.png,1,-0.5,Janderson Santos de Souza,0.0,5,1.23,3,{'FC': 1},janderson,6,0.0
656,Caio Monteiro,93789,267,https://s.glbimg.com/es/sde/f/2018/09/27/535d1be6446915f8de685279a6430f6d_FORMATO.png,0,0.0,Caio Monteiro Costa,0.0,5,3.0,3,{},caio-monteiro,6,0.0
657,Breno,50408,267,https://s.glbimg.com/es/sde/f/2018/09/27/3ded47ae372af2247cf245225f727efc_FORMATO.png,0,0.0,Breno Vinicius Rodrigues Borges,0.0,3,6.0,3,{},breno,5,0.0
658,Werley,62974,267,https://s.glbimg.com/es/sde/f/2018/09/27/100cf375e588a977ea2906da9ed2694f_FORMATO.png,2,-2.2,Werley Ananias da Silva,0.0,3,0.72,3,"{'FD': 1, 'GC': 1, 'PE': 2}",werley,6,0.0
659,Ribamar,94068,267,https://s.glbimg.com/es/sde/f/2019/02/04/9b1da38d8e388aadbecc486fc796afa1_FORMATO.jpeg,1,0.8,Lucas Ribamar Lopes dos Santos Bibiano,0.0,5,2.64,3,{'FF': 1},ribamar,6,0.0
660,Fellipe Bastos,70116,267,https://s.glbimg.com/es/sde/f/2019/03/26/c1b84ba942df91f5064aabec2e10f1de_FORMATO.png,1,5.3,Fellipe Ramos Ignez Bastos,0.0,4,4.47,3,"{'FC': 1, 'FF': 2, 'PE': 1, 'RB': 3}",fellipe-bastos,6,0.0
