,round_num,team_home,team_away,week_day,time,stadium,referee
144,15,Atlético - MG,Bahia - BA,Quarta,21:45,Independência - Belo Horizonte - MG,Marcelo Aparecido R de Souza
145,15,Atlético - PR,Botafogo - RJ,Quinta,21:00,Arena da Baixada - Curitiba - PR,Anderson Daronco
146,15,Sport - PE,Atlético - GO,Quinta,20:00,Ilha do Retiro - Recife - PE,Dewson Fernando Freitas da Silva
147,15,Vitória - BA,Grêmio - RS,Quarta,19:30,Manoel Barradas - Salvador - BA,Pericles Bassols Pegado Cortez
148,15,Ponte Preta - SP,Coritiba - PR,Quarta,21:00,Moisés Lucarelli - Campinas - SP,Rodrigo Batista Raposo
149,15,Avaí - SC,Corinthians - SP,Quarta,21:00,Ressacada - Florianopolis - SC,Wilton Pereira Sampaio
150,16,Vitória - BA,Chapecoense - SC,Sábado,16:00,Manoel Barradas - Salvador - BA,Marcelo de Lima Henrique
151,16,Santos - SP,Bahia - BA,Domingo,11:00,Pacaembu - Sao Paulo - SP,Wagner do Nascimento Magalhaes
152,16,Flamengo - RJ,Coritiba - PR,Sábado,19:00,Luso Brasileiro - Rio de Janeiro - RJ,Braulio da Silva Machado
153,16,Atlético - PR,Ponte Preta - SP,Domingo,19:00,Arena da Baixada - Curitiba - PR,Pablo dos Santos Alves
154,16,Fluminense - RJ,Corinthians - SP,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,Rafael Traci
155,16,Sport - PE,Palmeiras - SP,Domingo,16:00,Arena Pernambuco - São Lourenço da Mata - PE,Eduardo Tomaz de Aquino Valadao
156,16,Atlético - GO,Botafogo - RJ,Domingo,19:00,Olímpico Pedro Ludovico - Goiania - GO,Caio Max Augusto Vieira
157,16,Avaí - SC,Cruzeiro - MG,Domingo,16:00,Ressacada - Florianopolis - SC,Flavio Rodrigues de Souza
158,16,Atlético - MG,Vasco da Gama - RJ,Domingo,19:00,Independência - Belo Horizonte - MG,Raphael Claus
159,16,São Paulo - SP,Grêmio - RS,Segunda,20:00,Morumbi - Sao Paulo - SP,Ricardo Marques Ribeiro
160,17,Botafogo - RJ,São Paulo - SP,Sábado,16:00,Nilton Santos - Rio de Janeiro - RJ,Andre Luiz de Freitas Castro
161,17,Palmeiras - SP,Avaí - SC,Sábado,19:00,Allianz Parque - Sao Paulo - SP,Anderson Daronco
162,17,Cruzeiro - MG,Vitória - BA,Domingo,19:00,Mineirão - Belo Horizonte - MG,Dewson Fernando Freitas da Silva
163,17,Chapecoense - SC,Atlético - GO,Domingo,11:00,Arena Condá - Chapeco - SC,Marcelo Aparecido R de Souza
164,17,Corinthians - SP,Flamengo - RJ,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,Ricardo Marques Ribeiro
165,17,Coritiba - PR,Atlético - MG,Domingo,16:00,Couto Pereira - Curitiba - PR,Wagner do Nascimento Magalhaes
166,17,Bahia - BA,Sport - PE,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Elmo Alves Resende Cunha
167,17,Ponte Preta - SP,Fluminense - RJ,Quarta,20:00,Moisés Lucarelli - Campinas - SP,Heber Roberto Lopes
168,17,Grêmio - RS,Santos - SP,Domingo,19:00,Arena do Grêmio - Porto Alegre - RS,Braulio da Silva Machado
169,17,Vasco da Gama - RJ,Atlético - PR,Segunda,20:00,Raulino de Oliveira - Volta Redonda - RJ,Claudio Francisco Lima E Silva
170,18,Sport - PE,Fluminense - RJ,Quarta,19:30,Ilha do Retiro - Recife - PE,Marcelo Aparecido R de Souza
171,18,Chapecoense - SC,Bahia - BA,Quarta,19:30,Arena Condá - Chapeco - SC,Flavio Rodrigues de Souza
172,18,Atlético - MG,Corinthians - SP,Quarta,21:00,Mineirão - Belo Horizonte - MG,Anderson Daronco
173,18,Vitória - BA,Ponte Preta - SP,Quarta,21:00,Manoel Barradas - Salvador - BA,Andre Luiz de Freitas Castro
174,18,Botafogo - RJ,Palmeiras - SP,Quarta,21:45,Nilton Santos - Rio de Janeiro - RJ,Rafael Traci
175,18,Santos - SP,Flamengo - RJ,Quarta,21:45,Pacaembu - Sao Paulo - SP,Eduardo Tomaz de Aquino Valadao
176,18,Atlético - GO,Grêmio - RS,Quarta,21:45,Olímpico Pedro Ludovico - Goiania - GO,Igor Junio Benevenuto
177,18,São Paulo - SP,Coritiba - PR,Quinta,19:30,Morumbi - Sao Paulo - SP,Pericles Bassols Pegado Cortez
178,18,Atlético - PR,Avaí - SC,Quinta,19:30,Arena da Baixada - Curitiba - PR,Leandro Bizzio Marinho
179,18,Vasco da Gama - RJ,Cruzeiro - MG,Quinta,20:00,Raulino de Oliveira - Volta Redonda - RJ,Vinicius Goncalves Dias Araujo
180,19,Corinthians - SP,Sport - PE,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Wagner Reway
181,19,Flamengo - RJ,Vitória - BA,Domingo,11:00,Luso Brasileiro - Rio de Janeiro - RJ,Raphael Claus
182,19,Palmeiras - SP,Atlético - PR,Domingo,16:00,Allianz Parque - Sao Paulo - SP,Rodrigo Batista Raposo
183,19,Cruzeiro - MG,Botafogo - RJ,Domingo,16:00,Mineirão - Belo Horizonte - MG,Claudio Francisco Lima E Silva
184,19,Coritiba - PR,Chapecoense - SC,Domingo,16:00,Couto Pereira - Curitiba - PR,Wilton Pereira Sampaio
185,19,Grêmio - RS,Atlético - MG,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,Flavio Rodrigues de Souza
186,19,Bahia - BA,São Paulo - SP,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Joao Batista de Arruda
187,19,Ponte Preta - SP,Vasco da Gama - RJ,Domingo,19:00,Moisés Lucarelli - Campinas - SP,Sandro Meira Ricci
188,19,Avaí - SC,Santos - SP,Domingo,19:00,Ressacada - Florianopolis - SC,Pablo dos Santos Alves
189,19,Fluminense - RJ,Atlético - GO,Sábado,19:00,Maracanã - Rio de Janeiro - RJ,Paulo Roberto Alves Junior
190,20,Atlético - GO,Coritiba - PR,Sábado,16:00,Olímpico Pedro Ludovico - Goiania - GO,Grazianni Maciel Rocha
191,20,Vitória - BA,Avaí - SC,Sábado,19:00,Manoel Barradas - Salvador - BA,Ricardo Marques Ribeiro
192,20,São Paulo - SP,Cruzeiro - MG,Domingo,11:00,Morumbi - Sao Paulo - SP,Rafael Traci
193,20,Vasco da Gama - RJ,Palmeiras - SP,Domingo,16:00,Raulino de Oliveira - Volta Redonda - RJ,Paulo Roberto Alves Junior
194,20,Santos - SP,Fluminense - RJ,Segunda,20:00,Pacaembu - Sao Paulo - SP,Andre Luiz de Freitas Castro
195,20,Atlético - MG,Flamengo - RJ,Domingo,16:00,Independência - Belo Horizonte - MG,Elmo Alves Resende Cunha
196,20,Atlético - PR,Bahia - BA,Domingo,19:00,Arena da Baixada - Curitiba - PR,Sandro Meira Ricci
